race_id,venue_slug,date,race_no,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,close_time,true_line,n_lines,n_players
4220260804010001,nagoya,2026-08-04,1,1,小川 祐司  愛,媛,44,96,A2,両,3.92,87.04,×,1,19.0,38.0,42.8,5,2,15:46,1-7-4/2-5-3/6,3,7
4220260804010001,nagoya,2026-08-04,1,2,貝原 涼太  栃,木,28,125,A1,逃,3.92,87.37,◎,6,20.8,33.3,54.1,7,0,15:46,1-7-4/2-5-3/6,3,7
4220260804010001,nagoya,2026-08-04,1,3,阿部 宏之  宮,城,50,82,A2,追,3.92,78.66,▲,3,0.0,0.0,0.0,0,0,15:46,1-7-4/2-5-3/6,3,7
4220260804010001,nagoya,2026-08-04,1,4,原田 礼  福,岡,45,90,A2,追,3.92,84.33,注,2,12.5,25.0,37.5,0,0,15:46,1-7-4/2-5-3/6,3,7
4220260804010001,nagoya,2026-08-04,1,5,橋本 紀彰  茨,城,46,90,A2,追,3.92,83.9,○,5,4.3,8.6,34.7,0,0,15:46,1-7-4/2-5-3/6,3,7
4220260804010001,nagoya,2026-08-04,1,6,門脇 翼  秋,田,33,111,A2,両,3.92,77.8,,0,0.0,4.7,4.7,0,1,15:46,1-7-4/2-5-3/6,3,7
4220260804010001,nagoya,2026-08-04,1,7,吉岡 篤志  徳,島,47,82,A1,追,3.92,85.0,△,4,4.1,16.6,45.8,0,0,15:46,1-7-4/2-5-3/6,3,7
4220260804010002,nagoya,2026-08-04,2,1,山本 和虎  愛,知,23,125,A2,逃,3.85,82.09,注,2,9.5,33.3,38.0,5,2,16:09,5-2-3/6/1-4-7,3,7
4220260804010002,nagoya,2026-08-04,2,2,松坂 英司,神奈川,51,82,A1,追,3.92,87.45,◎,6,8.3,16.6,33.3,0,0,16:09,5-2-3/6/1-4-7,3,7
4220260804010002,nagoya,2026-08-04,2,3,本田 拓也  新,潟,43,92,A2,追,3.92,81.38,△,4,7.6,7.6,11.5,0,0,16:09,5-2-3/6/1-4-7,3,7
