month,race_id,variant,policy,target,head_bust,candidate_sets,actual,set_match,eligible_count,picks,pick_odds,ticket_count,bet,hit,stake,pay
2025_11,7320251103030011,OH_HIGH,MKT1,5,0.0,1-2-4,5-1-4,0.0,6,1-4-2,245.80,1,1,0,100,0
2025_11,7320251103030011,OH_HIGH,MKT2,5,0.0,1-2-4,5-1-4,0.0,6,1-4-2|4-2-1,245.80|288.30,2,1,0,200,0
2025_11,2720251104010007,BASE,MKT1,5,1.0,1-4-7,7-3-4,0.0,6,7-4-1,180.90,1,1,0,100,0
2025_11,2720251104010007,BASE,MKT2,5,1.0,1-4-7,7-3-4,0.0,6,7-4-1|7-1-4,180.90|243.40,2,1,0,200,0
2025_11,2720251104010007,OH_HIGH,MKT1,5,1.0,1-2-7,7-3-4,0.0,6,7-2-1,270.50,1,1,0,100,0
2025_11,2720251104010007,OH_HIGH,MKT2,5,1.0,1-2-7,7-3-4,0.0,6,7-2-1|1-7-2,270.50|387.30,2,1,0,200,0
2025_11,2720251104010008,BASE,MKT1,7,1.0,1-3-5,3-5-2,0.0,6,3-1-5,70.40,1,1,0,100,0
2025_11,2720251104010008,BASE,MKT2,7,1.0,1-3-5,3-5-2,0.0,6,3-1-5|1-3-5,70.40|98.60,2,1,0,200,0
2025_11,2720251104010008,OH_HIGH,MKT1,7,1.0,1-2-3|2-3-5,3-5-2,1.0,12,3-2-5,47.80,1,1,0,100,0
2025_11,2720251104010008,OH_HIGH,MKT2,7,1.0,1-2-3|2-3-5,3-5-2,1.0,12,3-2-5|2-3-5,47.80|93.50,2,1,0,200,0
2025_11,2720251104020008,BASE,MKT1,2,1.0,,5-6-1,0.0,0,,,0,0,0,0,0
2025_11,2720251104020008,BASE,MKT2,2,1.0,,5-6-1,0.0,0,,,0,0,0,0,0
2025_11,2720251104020008,OH_HIGH,MKT1,2,1.0,4-5-7,5-6-1,0.0,6,7-5-4,155.30,1,1,0,100,0
2025_11,2720251104020008,OH_HIGH,MKT2,2,1.0,4-5-7,5-6-1,0.0,6,7-5-4|5-7-4,155.30|194.70,2,1,0,200,0
2025_11,2720251104020009,BASE,MKT1,4,1.0,2-3-5,6-1-7,0.0,6,2-5-3,58.00,1,1,0,100,0
2025_11,2720251104020009,BASE,MKT2,4,1.0,2-3-5,6-1-7,0.0,6,2-5-3|5-2-3,58.00|64.20,2,1,0,200,0
2025_11,2720251104020009,OH_HIGH,MKT1,4,1.0,2-3-5,6-1-7,0.0,6,2-5-3,58.00,1,1,0,100,0
2025_11,2720251104020009,OH_HIGH,MKT2,4,1.0,2-3-5,6-1-7,0.0,6,2-5-3|5-2-3,58.00|64.20,2,1,0,200,0
2025_11,2720251104020010,BASE,MKT1,1,0.0,4-5-7,4-1-5,0.0,6,4-5-7,57.70,1,1,0,100,0
2025_11,2720251104020010,BASE,MKT2,1,0.0,4-5-7,4-1-5,0.0,6,4-5-7|4-7-5,57.70|60.00,2,1,0,200,0
2025_11,2720251104020010,OH_HIGH,MKT1,1,0.0,4-5-7,4-1-5,0.0,6,4-5-7,57.70,1,1,0,100,0
2025_11,2720251104020010,OH_HIGH,MKT2,1,0.0,4-5-7,4-1-5,0.0,6,4-5-7|4-7-5,57.70|60.00,2,1,0,200,0
2025_12,4220251201020001,BASE,MKT1,3,1.0,4-5-7,7-5-1,0.0,6,7-5-4,47.60,1,1,0,100,0
