month,race_id,trio,ticket,odds,market_p,actual_hit,score_order,winner_score_rank,line_pos_order,winner_line_pos,running_style_order,winner_running_style,escape_count,winner_is_escape,winner_score_rank_x_line_pos,group_score_percentile
2025_01,1320250104010005,3-5-6,3-5-6,486.1,0.0015415590880847338,0,1-2-3,1,1-1-2,1,両-逃-追,両,1,0,1x1,0.4
2025_01,1320250104010005,3-5-6,3-6-5,1163.4,0.0006441050994653507,0,1-3-2,1,1-2-1,1,両-追-逃,両,1,0,1x1,0.4
2025_01,1320250104010005,3-5-6,5-3-6,764.3,0.0009804420681904869,0,2-1-3,2,1-1-2,1,逃-両-追,逃,1,1,2x1,0.4
2025_01,1320250104010005,3-5-6,5-6-3,825.0,0.0009083053002642292,0,2-3-1,2,1-2-1,1,逃-追-両,逃,1,1,2x1,0.4
2025_01,1320250104010005,3-5-6,6-3-5,2018.8,0.0003711867806211557,0,3-1-2,3,2-1-1,2,追-両-逃,追,1,0,3x2,0.4
2025_01,1320250104010005,3-5-6,6-5-3,2158.5,0.0003471632488848687,0,3-2-1,3,2-1-1,2,追-逃-両,追,1,0,3x2,0.4
2025_01,1320250104020001,1-2-5,1-2-5,14.6,0.05117754933971843,0,2-1-3,2,1-2-1,1,両-追-追,両,0,0,2x1,0.05
2025_01,1320250104020001,1-2-5,1-5-2,30.8,0.02425948767402237,0,2-3-1,2,1-1-2,1,両-追-追,両,0,0,2x1,0.05
2025_01,1320250104020001,1-2-5,2-1-5,18.4,0.04060827284564615,0,1-2-3,1,2-1-1,2,追-両-追,追,0,0,1x2,0.05
2025_01,1320250104020001,1-2-5,2-5-1,48.5,0.01540602516205957,0,1-3-2,1,2-1-1,2,追-追-両,追,0,0,1x2,0.05
2025_01,1320250104020001,1-2-5,5-1-2,67.8,0.011020534223597184,0,3-2-1,3,1-1-2,1,追-両-追,追,0,0,3x1,0.05
2025_01,1320250104020001,1-2-5,5-2-1,64.9,0.011512977201230956,0,3-1-2,3,1-2-1,1,追-追-両,追,0,0,3x1,0.05
2025_01,1320250104020001,1-3-5,1-3-5,77.3,0.00966613480413828,0,1-3-2,1,1-1-1,1,両-両-追,両,0,0,1x1,0.35
2025_01,1320250104020001,1-3-5,1-5-3,79.6,0.009386836939194588,0,1-2-3,1,1-1-1,1,両-追-両,両,0,0,1x1,0.35
2025_01,1320250104020001,1-3-5,3-1-5,212.7,0.0035128924323455063,0,3-1-2,3,1-1-1,1,両-両-追,両,0,0,3x1,0.35
2025_01,1320250104020001,1-3-5,3-5-1,450.4,0.0016589525318825248,0,3-2-1,3,1-1-1,1,両-追-両,両,0,0,3x1,0.35
2025_01,1320250104020001,1-3-5,5-1-3,144.7,0.005163733381892807,0,2-1-3,2,1-1-1,1,追-両-両,追,0,0,2x1,0.35
2025_01,1320250104020001,1-3-5,5-3-1,330.2,0.0022628474268924564,0,2-3-1,2,1-1-1,1,追-両-両,追,0,0,2x1,0.35
2025_01,1320250104020001,2-4-5,2-4-5,57.3,0.013040003845722322,0,1-3-2,1,2-2-1,2,追-追-追,追,0,0,1x2,0.25
2025_01,1320250104020001,2-4-5,2-5-4,63.1,0.011841398103960208,0,1-2-3,1,2-1-2,2,追-追-追,追,0,0,1x2,0.25
2025_01,1320250104020001,2-4-5,4-2-5,108.1,0.00691204644181211,0,3-1-2,3,2-2-1,2,追-追-追,追,0,0,3x2,0.25
2025_01,1320250104020001,2-4-5,4-5-2,185.2,0.004034515228725104,0,3-2-1,3,2-1-2,2,追-追-追,追,0,0,3x2,0.25
2025_01,1320250104020001,2-4-5,5-2-4,83.3,0.008969894602159533,0,2-1-3,2,1-2-2,1,追-追-追,追,0,0,2x1,0.25
2025_01,1320250104020001,2-4-5,5-4-2,123.2,0.006064871918505592,0,2-3-1,2,1-2-2,1,追-追-追,追,0,0,2x1,0.25
2025_01,1320250104020002,1-2-3,1-2-3,94.2,0.007929683933441102,0,1-2-3,1,1-2-2,1,追-追-逃,追,1,0,1x1,0.1
2025_01,1320250104020002,1-2-3,1-3-2,238.3,0.0031346043916498185,0,1-3-2,1,1-2-2,1,追-逃-追,追,1,0,1x1,0.1
2025_01,1320250104020002,1-2-3,2-1-3,118.9,0.006282390467032395,0,2-1-3,2,2-1-2,2,追-追-逃,追,1,0,2x2,0.1
2025_01,1320250104020002,1-2-3,2-3-1,147.2,0.005074566756318967,0,2-3-1,2,2-2-1,2,追-逃-追,追,1,0,2x2,0.1
2025_01,1320250104020002,1-2-3,3-1-2,407.4,0.00183352043821834,0,3-1-2,3,2-1-2,2,逃-追-追,逃,1,1,3x2,0.1
2025_01,1320250104020002,1-2-3,3-2-1,289.2,0.0025829053476146327,0,3-2-1,3,2-2-1,2,逃-追-追,逃,1,1,3x2,0.1
2025_01,1320250104020002,1-2-4,1-2-4,84.7,0.008819081777215488,0,1-2-3,1,1-2-1,1,追-追-両,追,0,0,1x1,0.05
2025_01,1320250104020002,1-2-4,1-4-2,51.0,0.014646592677061799,0,1-3-2,1,1-1-2,1,追-両-追,追,0,0,1x1,0.05
2025_01,1320250104020002,1-2-4,2-1-4,156.8,0.004763878995728008,0,2-1-3,2,2-1-1,2,追-追-両,追,0,0,2x2,0.05
2025_01,1320250104020002,1-2-4,2-4-1,294.8,0.002533840659871614,0,2-3-1,2,2-1-1,2,追-両-追,追,0,0,2x2,0.05
2025_01,1320250104020002,1-2-4,4-1-2,170.8,0.00437339711083227,0,3-1-2,3,1-1-2,1,両-追-追,両,0,0,3x1,0.05
2025_01,1320250104020002,1-2-4,4-2-1,307.6,0.002428401256599973,0,3-2-1,3,1-2-1,1,両-追-追,両,0,0,3x1,0.05
2025_01,1320250104020002,1-2-5,1-2-5,56.3,0.013267783774958292,0,1-2-3,1,1-2-1,1,追-追-逃,追,1,0,1x1,0.2
2025_01,1320250104020002,1-2-5,1-5-2,35.8,0.020865257724305915,0,1-3-2,1,1-1-2,1,追-逃-追,追,1,0,1x1,0.2
