month,period,race_id,trio_key,ticket,odds,market_p,actual_hit,return_units,role_set,odds_rank_ascending
2025_07,2025_H2,1120250708020011,1-4-7,4-1-7,114.2,0.006552123317331966,0,0.0,ESCAPE_HEAD+RYO_HEAD+SOLO,6
2025_07,2025_H2,1120250708030005,1-2-3,3-1-2,11.0,0.06805462283480156,0,0.0,SOLO+SOLO+SOLO,1
2025_07,2025_H2,1120250708030005,1-2-3,2-3-1,14.4,0.05198617022102897,0,0.0,SOLO+SOLO+SOLO,2
2025_07,2025_H2,1120250708030005,1-2-3,3-2-1,15.5,0.04829682910856885,0,0.0,SOLO+SOLO+SOLO,3
2025_07,2025_H2,1120250708030005,1-2-3,2-1-3,26.8,0.027932867581448396,1,26.8,SOLO+SOLO+SOLO,4
2025_07,2025_H2,1120250708030005,1-2-3,1-3-2,29.4,0.02546261398581011,0,0.0,SOLO+SOLO+SOLO,5
2025_07,2025_H2,1120250708030005,1-2-3,1-2-3,45.4,0.01648900553266117,0,0.0,SOLO+SOLO+SOLO,6
2025_07,2025_H2,1120250708030006,1-2-5,5-1-2,8.1,0.09227448545209652,0,0.0,SOLO+SOLO+SOLO,1
2025_07,2025_H2,1120250708030006,1-2-5,5-2-1,25.6,0.02919622391257741,0,0.0,SOLO+SOLO+SOLO,2
2025_07,2025_H2,1120250708030006,1-2-5,1-5-2,54.1,0.013815588394861028,0,0.0,SOLO+SOLO+SOLO,3
2025_07,2025_H2,1120250708030006,1-2-5,2-5-1,95.9,0.007793778229009194,0,0.0,SOLO+SOLO+SOLO,4
2025_07,2025_H2,1120250708030006,1-2-5,1-2-5,183.4,0.0040753725853979374,0,0.0,SOLO+SOLO+SOLO,5
2025_07,2025_H2,1120250708030006,1-2-5,2-1-5,206.0,0.0036282686027280663,0,0.0,SOLO+SOLO+SOLO,6
2025_07,2025_H2,1120250708030011,1-3-4,1-3-4,36.4,0.02058770917275702,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+SOLO,1
2025_07,2025_H2,1120250708030011,1-3-4,1-4-3,47.0,0.015944523699752244,1,47.0,ESCAPE_HEAD+ESCAPE_HEAD+SOLO,2
2025_07,2025_H2,1120250708030011,1-3-4,3-1-4,109.6,0.00683752384934631,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+SOLO,3
2025_07,2025_H2,1120250708030011,1-3-4,4-1-3,154.7,0.004844166864178123,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+SOLO,4
2025_07,2025_H2,1120250708030011,1-3-4,3-4-1,201.1,0.0037264674982016685,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+SOLO,5
2025_07,2025_H2,1120250708030011,1-3-4,4-3-1,263.8,0.0028407604772113554,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+SOLO,6
2025_07,2025_H2,1120250713010009,1-2-3,1-2-3,73.8,0.010145656545674214,0,0.0,BANTE+BANTE+ESCAPE_HEAD,1
2025_07,2025_H2,1120250713010009,1-2-3,1-3-2,102.7,0.007290647060085266,0,0.0,BANTE+BANTE+ESCAPE_HEAD,2
2025_07,2025_H2,1120250713010009,1-2-3,3-1-2,255.4,0.0029316736612010844,0,0.0,BANTE+BANTE+ESCAPE_HEAD,3
2025_07,2025_H2,1120250713010009,1-2-3,2-1-3,267.1,0.0028032551593813433,0,0.0,BANTE+BANTE+ESCAPE_HEAD,4
2025_07,2025_H2,1120250713010009,1-2-3,2-3-1,388.8,0.0019257959183918644,0,0.0,BANTE+BANTE+ESCAPE_HEAD,5
2025_07,2025_H2,1120250713010009,1-2-3,3-2-1,399.7,0.001873278591620608,0,0.0,BANTE+BANTE+ESCAPE_HEAD,6
2025_07,2025_H2,1120250713020009,1-2-3,1-2-3,5.8,0.128811863290846,0,0.0,BANTE+BANTE+ESCAPE_HEAD,1
2025_07,2025_H2,1120250713020009,1-2-3,2-1-3,15.9,0.04698797528848471,0,0.0,BANTE+BANTE+ESCAPE_HEAD,2
2025_07,2025_H2,1120250713020009,1-2-3,1-3-2,24.6,0.030370276710849874,0,0.0,BANTE+BANTE+ESCAPE_HEAD,3
2025_07,2025_H2,1120250713020009,1-2-3,2-3-1,86.7,0.00861717193871865,0,0.0,BANTE+BANTE+ESCAPE_HEAD,4
2025_07,2025_H2,1120250713020009,1-2-3,3-1-2,121.3,0.006159182251334764,0,0.0,BANTE+BANTE+ESCAPE_HEAD,5
2025_07,2025_H2,1120250713020009,1-2-3,3-2-1,169.9,0.00439734436190057,0,0.0,BANTE+BANTE+ESCAPE_HEAD,6
2025_07,2025_H2,1120250713030009,1-2-3,1-3-2,37.1,0.020184323685133444,0,0.0,BANTE+BANTE+ESCAPE_HEAD,1
2025_07,2025_H2,1120250713030009,1-2-3,1-2-3,50.1,0.01494687442551798,0,0.0,BANTE+BANTE+ESCAPE_HEAD,2
2025_07,2025_H2,1120250713030009,1-2-3,3-1-2,241.0,0.003107213314184443,0,0.0,BANTE+BANTE+ESCAPE_HEAD,3
2025_07,2025_H2,1120250713030009,1-2-3,2-1-3,305.7,0.002449585897018158,0,0.0,BANTE+BANTE+ESCAPE_HEAD,4
2025_07,2025_H2,1120250713030009,1-2-3,3-2-1,360.8,0.00207549448092697,0,0.0,BANTE+BANTE+ESCAPE_HEAD,5
2025_07,2025_H2,1120250713030009,1-2-3,2-3-1,448.5,0.0016696508555595335,0,0.0,BANTE+BANTE+ESCAPE_HEAD,6
2025_07,2025_H2,1120250722020008,2-5-7,2-7-5,33.3,0.022473587989418106,0,0.0,OTHER_HEAD+RYO_HEAD+RYO_HEAD,1
2025_07,2025_H2,1120250722020008,2-5-7,2-5-7,61.9,0.012089991600123149,0,0.0,OTHER_HEAD+RYO_HEAD+RYO_HEAD,2
2025_07,2025_H2,1120250722020008,2-5-7,7-2-5,71.7,0.010437524128976609,0,0.0,OTHER_HEAD+RYO_HEAD+RYO_HEAD,3
2025_07,2025_H2,1120250722020008,2-5-7,7-5-2,168.1,0.004451936228718757,0,0.0,OTHER_HEAD+RYO_HEAD+RYO_HEAD,4
2025_07,2025_H2,1120250722020008,2-5-7,5-2-7,176.0,0.004252105000270585,0,0.0,OTHER_HEAD+RYO_HEAD+RYO_HEAD,5
2025_07,2025_H2,1120250722020008,2-5-7,5-7-2,224.1,0.0033394488177046983,0,0.0,OTHER_HEAD+RYO_HEAD+RYO_HEAD,6
2025_07,2025_H2,1120250722030005,2-4-5,4-5-2,2.7,0.2760207013687986,0,0.0,SOLO+SOLO+SOLO,1
2025_07,2025_H2,1120250722030005,2-4-5,5-4-2,3.9,0.19109125479378367,0,0.0,SOLO+SOLO+SOLO,2
2025_07,2025_H2,1120250722030005,2-4-5,4-2-5,12.2,0.06108654866358658,0,0.0,SOLO+SOLO+SOLO,3
2025_07,2025_H2,1120250722030005,2-4-5,5-2-4,12.4,0.06010128174965776,0,0.0,SOLO+SOLO+SOLO,4
2025_07,2025_H2,1120250722030005,2-4-5,2-5-4,36.5,0.02041796969029469,0,0.0,SOLO+SOLO+SOLO,5
2025_07,2025_H2,1120250722030005,2-4-5,2-4-5,40.0,0.018631397342393906,0,0.0,SOLO+SOLO+SOLO,6
2025_07,2025_H2,1120250722030011,2-4-5,5-2-4,50.1,0.014948645946125988,0,0.0,BANTE+OTHER_HEAD+OTHER_HEAD,1
2025_07,2025_H2,1120250722030011,2-4-5,5-4-2,53.2,0.014077578231220151,0,0.0,BANTE+OTHER_HEAD+OTHER_HEAD,2
2025_07,2025_H2,1120250722030011,2-4-5,4-5-2,91.2,0.008211920634878422,0,0.0,BANTE+OTHER_HEAD+OTHER_HEAD,3
