split,month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
TRAIN,2025_05,5120250502010005,OH_HIGH,4,1.0,monthly,1-2-7|1-2-5,2-7-1|2-1-5,2-7-1|2-1-5,5-7-1,0.0,1,0.0,200,0,BET
TRAIN,2025_05,5120250502010005,OH_TOP,4,1.0,monthly,,,,5-7-1,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,5120250502030011,BASE,4,0.0,monthly,1-2-5|1-3-5,5-1-2|5-1-3,5-1-2|5-1-3,7-1-4,0.0,1,0.0,200,0,BET
TRAIN,2025_05,5120250502030011,OH_EQ,4,0.0,monthly,,,,7-1-4,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_05,5120250502030011,OH_HIGH,4,0.0,monthly,1-5-7,5-1-7,5-1-7,7-1-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502030011,OH_TOP,4,0.0,monthly,1-5-7,5-1-7,5-1-7,7-1-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502010001,BASE,1,0.0,monthly,4-5-7,4-7-5,,4-1-6,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,1120250502010001,OH_EQ,1,0.0,monthly,4-5-7,4-7-5,,4-1-6,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,1120250502010001,OH_HIGH,1,0.0,monthly,4-5-7,4-7-5,,4-1-6,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,1120250502010001,OH_TOP,1,0.0,monthly,4-5-7,4-7-5,,4-1-6,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,1120250502020001,BASE,1,0.0,monthly,3-4-5,3-4-5,3-4-5,5-3-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502020001,OH_EQ,1,0.0,monthly,3-4-5,3-4-5,3-4-5,5-3-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502020001,OH_HIGH,1,0.0,monthly,3-4-5|2-3-4,3-4-5|3-4-2,3-4-5|3-4-2,5-3-1,0.0,1,0.0,200,0,BET
TRAIN,2025_05,1120250502020001,OH_TOP,1,0.0,monthly,2-3-4,3-4-2,3-4-2,5-3-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502030001,BASE,7,0.0,monthly,1-2-3,2-1-3,2-1-3,2-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502030001,OH_EQ,7,0.0,monthly,1-2-3,2-1-3,2-1-3,2-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502030001,OH_HIGH,7,0.0,monthly,1-2-3,2-1-3,2-1-3,2-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502030001,OH_TOP,7,0.0,monthly,1-2-3,2-1-3,2-1-3,2-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502010002,BASE,4,0.0,monthly,1-3-7,7-3-1,7-3-1,3-4-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502010002,OH_EQ,4,0.0,monthly,2-3-7|1-3-7,7-3-2|7-3-1,7-3-2|7-3-1,3-4-2,0.0,1,0.0,200,0,BET
TRAIN,2025_05,1120250502010002,OH_HIGH,4,0.0,monthly,,,,3-4-2,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,1120250502010002,OH_TOP,4,0.0,monthly,2-3-7,7-3-2,7-3-2,3-4-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502020002,BASE,2,1.0,monthly,1-3-7,3-7-1,3-7-1,7-6-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,1120250502020002,OH_EQ,2,1.0,monthly,,,,7-6-1,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_05,1120250502020002,OH_HIGH,2,1.0,monthly,3-4-7,3-7-4,,7-6-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,1120250502020002,OH_TOP,2,1.0,monthly,3-4-7,3-7-4,,7-6-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_06,3120250601010001,BASE,3,0.0,monthly,1-2-4,2-1-4,2-1-4,2-1-3,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601010001,OH_EQ,3,0.0,monthly,1-2-4,2-1-4,2-1-4,2-1-3,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601010001,OH_HIGH,3,0.0,monthly,1-2-4,2-1-4,2-1-4,2-1-3,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601010001,OH_TOP,3,0.0,monthly,1-2-4,2-1-4,2-1-4,2-1-3,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020001,BASE,3,0.0,monthly,1-2-5,2-1-5,2-1-5,1-3-5,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020001,OH_EQ,3,0.0,monthly,1-2-5,2-1-5,2-1-5,1-3-5,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020001,OH_HIGH,3,0.0,monthly,1-2-4|1-2-5,2-1-4|2-1-5,2-1-5,1-3-5,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020001,OH_TOP,3,0.0,monthly,1-2-4,2-1-4,,1-3-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_06,3120250601010002,BASE,2,0.0,monthly,1-3-4,1-3-4,1-3-4,1-5-2,0.0,1,0.0,100,0,BET
